Name TPM NumReads
ENSRNOT00000047550.4 6838.81 91513.4
ENSRNOT00000040993.4 5924 87565.8
ENSRNOT00000050156.3 16983.9 394284
ENSRNOT00000043693.3 13929.8 123514
ENSRNOT00000046201.3 35428.3 33222.1
ENSRNOT00000046108.3 17676.3 155851
ENSRNOT00000049683.3 14915.9 157119
ENSRNOT00000041241.3 4828.25 15799.5
ENSRNOT00000044582.3 9413.51 22850.5
ENSRNOT00000042928.3 5484.8 112064
ENSRNOT00000048767.3 2835.82 79304.6
ENSRNOT00000051268.3 3535.83 21633.4
ENSRNOT00000042098.3 9100.05 150287
ENSRNOT00000003077.5 57.6419 6112.05
ENSRNOT00000065879.1 6.44229 172
ENSRNOT00000077666.1 5.67643 508.046
ENSRNOT00000087911.1 0 0
ENSRNOT00000058131.4 149.304 719.465
ENSRNOT00000017862.4 21.1258 811.915
ENSRNOT00000089318.1 10.0432 217.253
ENSRNOT00000011892.7 58.5876 1167.75
ENSRNOT00000027093.6 70.0792 1407.31
ENSRNOT00000032664.7 0.225072 5
ENSRNOT00000080032.1 35.8497 1761.99
ENSRNOT00000011386.7 0.53565 12.0156
ENSRNOT00000026070.6 47.4456 1117.27
ENSRNOT00000083408.1 5.23093 129.545
ENSRNOT00000038055.6 32.7678 659.127
ENSRNOT00000022923.6 0 0
ENSRNOT00000071786.2 0 0
ENSRNOT00000084637.1 18.4621 1183.12
ENSRNOT00000048293.4 10.4248 237.148
ENSRNOT00000041789.2 998.562 22615.9
ENSRNOT00000020384.2 6.42471 100
ENSRNOT00000088867.1 0 0
ENSRNOT00000001227.6 245.602 7494.64
ENSRNOT00000061323.1 0 0
ENSRNOT00000079988.1 9.81101 37
ENSRNOT00000060765.4 2.44835 67
ENSRNOT00000088529.1 15.4386 1538.22
ENSRNOT00000064255.1 0.0602056 6.87459
ENSRNOT00000025183.2 43.8359 472.665
ENSRNOT00000013503.5 0.0529614 1
ENSRNOT00000020493.5 4.41264 78.0227
ENSRNOT00000010633.5 57.8863 2818.07
ENSRNOT00000064594.3 0.330471 7.77659
ENSRNOT00000085673.1 0 0
ENSRNOT00000010714.5 26.4048 1651.18
ENSRNOT00000024714.7 25.6916 2801.29
ENSRNOT00000064565.1 0 0
ENSRNOT00000081206.1 136.32 5384.52
ENSRNOT00000083426.1 6.44832 244.815
ENSRNOT00000066115.3 7.38034 255.106
ENSRNOT00000080712.1 11.2762 467.39
ENSRNOT00000017805.6 19.175 1007
ENSRNOT00000035512.6 2.00891 83
ENSRNOT00000061029.4 6.1991 481.364
ENSRNOT00000090178.1 0 0
ENSRNOT00000052157.5 8.17064 314.018
ENSRNOT00000066120.3 50.9747 3971.81
ENSRNOT00000026633.7 31.583 562.651
ENSRNOT00000084562.1 0 0
ENSRNOT00000029829.4 66.4345 1934.27
ENSRNOT00000048351.5 0 0
ENSRNOT00000072923.1 0 0
ENSRNOT00000072173.1 0.156769 4
ENSRNOT00000012086.6 6.70122 212.198
ENSRNOT00000074117.2 0.502553 10
ENSRNOT00000024779.6 99.7529 3833.74
ENSRNOT00000013786.6 0.130349 3
ENSRNOT00000024975.4 29.7266 1021.08
ENSRNOT00000064705.3 10.7069 1643.72
ENSRNOT00000090572.1 23.7331 2983.31
ENSRNOT00000012480.5 4.51809 182
ENSRNOT00000085488.1 5.70023 237.41
ENSRNOT00000077537.1 0 0
ENSRNOT00000018425.7 22.1548 823.399
ENSRNOT00000045053.3 38.5182 1414.86
ENSRNOT00000058330.4 0 0
ENSRNOT00000092198.1 0.0303808 1
ENSRNOT00000021372.6 324.125 2242.42
ENSRNOT00000084129.1 12.6051 534.237
ENSRNOT00000087671.1 7.14835 152.845
ENSRNOT00000085905.1 24.7225 1056.04
ENSRNOT00000013233.4 10.0785 368.863
ENSRNOT00000082684.1 1.6279 25.1753
ENSRNOT00000044250.1 0.15192 2
ENSRNOT00000089007.1 47.4464 510.013
ENSRNOT00000004319.3 62.7801 1344.44
ENSRNOT00000026437.4 1.73235 23.066
ENSRNOT00000029111.5 10.2425 403.032
ENSRNOT00000000891.5 24.3682 1474.27
ENSRNOT00000079725.1 0 0
ENSRNOT00000077256.1 6.72781 250.605
ENSRNOT00000056221.2 2.09011 87.1559
ENSRNOT00000072548.2 0 0
ENSRNOT00000010229.6 22.0741 1445.49
ENSRNOT00000072353.1 0 0
ENSRNOT00000061975.1 11.5339 138
ENSRNOT00000018098.5 66.7939 1549.52
ENSRNOT00000003188.5 33.2258 595.239
ENSRNOT00000022265.5 0.901476 9
ENSRNOT00000082463.1 16.9137 920.102
ENSRNOT00000022362.7 0.445016 12
ENSRNOT00000090938.1 8.81434 94.6006
ENSRNOT00000047881.1 0.503664 2
ENSRNOT00000022138.6 108.941 1633.92
ENSRNOT00000081472.1 0 0
ENSRNOT00000079430.1 0 0
ENSRNOT00000009931.5 16.4885 421.532
ENSRNOT00000031164.3 129.67 4897.08
ENSRNOT00000044613.4 69.8069 5275.11
ENSRNOT00000051449.4 0 0
ENSRNOT00000032106.6 1.54711 187.024
ENSRNOT00000010520.2 0 0
ENSRNOT00000041421.5 0 0
