Name TPM NumReads
ENSRNOT00000047550.4 6561.58 86456.8
ENSRNOT00000040993.4 5141.21 74840.2
ENSRNOT00000050156.3 17024.4 389417
ENSRNOT00000043693.3 13191.4 115096
ENSRNOT00000046201.3 32630.6 29787.9
ENSRNOT00000046108.3 16941.5 146979
ENSRNOT00000049683.3 13688.8 141909
ENSRNOT00000041241.3 4199.07 13459
ENSRNOT00000044582.3 8110.32 19218.2
ENSRNOT00000042928.3 5120.15 103064
ENSRNOT00000048767.3 2613.71 72030.2
ENSRNOT00000051268.3 3129.55 18822.4
ENSRNOT00000042098.3 8548.17 139048
ENSRNOT00000003077.5 42.8797 4483.07
ENSRNOT00000065879.1 7.2757 191.419
ENSRNOT00000077666.1 4.98038 439.49
ENSRNOT00000087911.1 0 0
ENSRNOT00000058131.4 139.511 660.213
ENSRNOT00000017862.4 23.3345 883.935
ENSRNOT00000089318.1 4.84945 103.354
ENSRNOT00000011892.7 43.8537 861.11
ENSRNOT00000027093.6 61.3476 1213.7
ENSRNOT00000032664.7 0.18275 4
ENSRNOT00000080032.1 36.3126 1759.35
ENSRNOT00000011386.7 0.680215 15.0338
ENSRNOT00000026070.6 49.8555 1156.79
ENSRNOT00000083408.1 7.32955 178.861
ENSRNOT00000038055.6 32.8723 651.423
ENSRNOT00000022923.6 0 0
ENSRNOT00000071786.2 0.321665 4.86751
ENSRNOT00000084637.1 16.473 1040.73
ENSRNOT00000048293.4 10.2761 230.326
ENSRNOT00000041789.2 1101.15 24572.5
ENSRNOT00000020384.2 6.80669 104.343
ENSRNOT00000088867.1 0 0
ENSRNOT00000001227.6 267.956 8058.38
ENSRNOT00000061323.1 0 0
ENSRNOT00000079988.1 10.6969 39.561
ENSRNOT00000060765.4 1.18664 32
ENSRNOT00000088529.1 15.9889 1570.71
ENSRNOT00000064255.1 0.151802 17.091
ENSRNOT00000025183.2 18.3345 194.591
ENSRNOT00000013503.5 0 0
ENSRNOT00000020493.5 1.34604 23.4439
ENSRNOT00000010633.5 57.9222 2779.68
ENSRNOT00000064594.3 0.496728 11.5173
ENSRNOT00000085673.1 0 0
ENSRNOT00000010714.5 28.7894 1774.84
ENSRNOT00000024714.7 28.3549 3048.39
ENSRNOT00000064565.1 0 0
ENSRNOT00000081206.1 138.051 5374.74
ENSRNOT00000083426.1 6.53896 244.694
ENSRNOT00000066115.3 8.15793 277.922
ENSRNOT00000080712.1 13.5786 554.771
ENSRNOT00000017805.6 23.3932 1211.07
ENSRNOT00000035512.6 1.59608 65
ENSRNOT00000061029.4 6.22263 476.389
ENSRNOT00000090178.1 0 0
ENSRNOT00000052157.5 7.4266 281.328
ENSRNOT00000066120.3 67.4443 5181.1
ENSRNOT00000026633.7 46.4126 814.471
ENSRNOT00000084562.1 0 0
ENSRNOT00000029829.4 49.5524 1421.8
ENSRNOT00000048351.5 0 0
ENSRNOT00000072923.1 0 0
ENSRNOT00000072173.1 0.159394 4.00754
ENSRNOT00000012086.6 5.93712 185.284
ENSRNOT00000074117.2 0.306074 6
ENSRNOT00000024779.6 107.821 4084.4
ENSRNOT00000013786.6 0 0
ENSRNOT00000024975.4 25.9666 879.074
ENSRNOT00000064705.3 11.5688 1751.28
ENSRNOT00000090572.1 25.6292 3176.63
ENSRNOT00000012480.5 2.3957 95.123
ENSRNOT00000085488.1 5.85998 240.572
ENSRNOT00000077537.1 0 0
ENSRNOT00000018425.7 25.1275 920.469
