Name TPM NumReads
ENSRNOT00000047550.4 6699.62 99423.2
ENSRNOT00000040993.4 5329.59 87375.8
ENSRNOT00000050156.3 16641.8 428801
ENSRNOT00000043693.3 12468.2 122446
ENSRNOT00000046201.3 31305 32004.9
ENSRNOT00000046108.3 16849 164532
ENSRNOT00000049683.3 13927.5 162574
ENSRNOT00000041241.3 3995.99 14404.1
ENSRNOT00000044582.3 8188.45 21801.6
ENSRNOT00000042928.3 4992.03 113186
ENSRNOT00000048767.3 2645.44 82128.7
ENSRNOT00000051268.3 3168.41 21432.8
ENSRNOT00000042098.3 8405.2 153990
ENSRNOT00000003077.5 42.0194 4949.98
ENSRNOT00000065879.1 6.0794 180.179
ENSRNOT00000077666.1 4.34565 432.082
ENSRNOT00000087911.1 0 0
ENSRNOT00000058131.4 188.606 1003.83
ENSRNOT00000017862.4 22.3157 952.371
ENSRNOT00000089318.1 4.69402 112.689
ENSRNOT00000011892.7 58.3837 1291.32
ENSRNOT00000027093.6 64.2732 1432.29
ENSRNOT00000032664.7 0.202796 5
ENSRNOT00000080032.1 36.7283 2004.88
ENSRNOT00000011386.7 1.41405 35.2042
ENSRNOT00000026070.6 47.1546 1232.48
ENSRNOT00000083408.1 6.86774 188.788
ENSRNOT00000038055.6 35.2273 786.326
ENSRNOT00000022923.6 0 0
ENSRNOT00000071786.2 0.33334 5.68102
ENSRNOT00000084637.1 17.2112 1225.14
ENSRNOT00000048293.4 8.80519 222.313
ENSRNOT00000041789.2 1073.5 26984.5
ENSRNOT00000020384.2 6.25543 108
ENSRNOT00000088867.1 0 0
ENSRNOT00000001227.6 249.819 8463.68
ENSRNOT00000061323.1 0 0
ENSRNOT00000079988.1 11.3421 47.1733
ENSRNOT00000060765.4 1.55099 47.1167
ENSRNOT00000088529.1 15.5063 1716.39
ENSRNOT00000064255.1 0.0272386 3.45547
ENSRNOT00000025183.2 27.3788 327.195
ENSRNOT00000013503.5 0.0477307 1
ENSRNOT00000020493.5 3.12416 61.2876
ENSRNOT00000010633.5 55.36 2993.22
ENSRNOT00000064594.3 0.599616 15.6611
ENSRNOT00000085673.1 0 0
ENSRNOT00000010714.5 31.4931 2187.51
ENSRNOT00000024714.7 25.2224 3055.35
ENSRNOT00000064565.1 0 0
ENSRNOT00000081206.1 147.045 6449.76
ENSRNOT00000083426.1 6.51447 274.641
ENSRNOT00000066115.3 10.0591 386.068
ENSRNOT00000080712.1 11.7671 541.636
ENSRNOT00000017805.6 21.8727 1275.8
ENSRNOT00000035512.6 1.30772 60
ENSRNOT00000061029.4 5.16923 445.895
ENSRNOT00000090178.1 0 0
ENSRNOT00000052157.5 8.69747 371.184
ENSRNOT00000066120.3 67.8196 5870.18
ENSRNOT00000026633.7 34.7403 686.659
ENSRNOT00000084562.1 0 0
ENSRNOT00000029829.4 52.7336 1704.53
ENSRNOT00000048351.5 0 0
ENSRNOT00000072923.1 0.0366638 2
ENSRNOT00000072173.1 0.211945 6.00283
ENSRNOT00000012086.6 5.251 184.611
ENSRNOT00000074117.2 0.226442 5
ENSRNOT00000024779.6 112.883 4817.54
ENSRNOT00000013786.6 0.0782953 2
ENSRNOT00000024975.4 27.6956 1056.29
ENSRNOT00000064705.3 10.8742 1854.83
ENSRNOT00000090572.1 24.6089 3436.84
ENSRNOT00000012480.5 2.95697 132.274
ENSRNOT00000085488.1 5.67568 262.511
ENSRNOT00000077537.1 0 0
ENSRNOT00000018425.7 24.3913 1006.62
ENSRNOT00000045053.3 41.379 1687.76
ENSRNOT00000058330.4 0 0
ENSRNOT00000092198.1 0.0820875 3
ENSRNOT00000021372.6 324.174 2481.1
ENSRNOT00000084129.1 13.5 635.401
ENSRNOT00000087671.1 5.41244 128.433
ENSRNOT00000085905.1 32.7736 1554.69
ENSRNOT00000013233.4 9.9307 403.581
ENSRNOT00000082684.1 1.25829 21.5846
