Name TPM NumReads
ENSRNOT00000047550.4 7046.93 70173.6
ENSRNOT00000040993.4 6187.22 68322.4
ENSRNOT00000050156.3 16752.4 294426
ENSRNOT00000043693.3 16041.9 103635
ENSRNOT00000046201.3 42426.6 20568.5
ENSRNOT00000046108.3 19671.5 126322
ENSRNOT00000049683.3 14739.7 114252
ENSRNOT00000041241.3 5910.43 12579.5
ENSRNOT00000044582.3 11729.7 17371
ENSRNOT00000042928.3 5914.16 91191.3
ENSRNOT00000048767.3 3096.43 65813.6
ENSRNOT00000051268.3 4196.89 18176.7
ENSRNOT00000042098.3 9202.29 113972
ENSRNOT00000003077.5 38.6126 3155.69
ENSRNOT00000065879.1 6.01772 122
ENSRNOT00000077666.1 4.36896 301.108
ENSRNOT00000087911.1 0 0
ENSRNOT00000058131.4 144.711 481.382
ENSRNOT00000017862.4 21.9029 643.121
ENSRNOT00000089318.1 9.09631 148.713
ENSRNOT00000011892.7 63.256 950.854
ENSRNOT00000027093.6 66.6522 1009.65
ENSRNOT00000032664.7 0.119044 2
ENSRNOT00000080032.1 32.3468 1218.3
ENSRNOT00000011386.7 0.830859 14.0983
ENSRNOT00000026070.6 55.8364 995.752
ENSRNOT00000083408.1 0.863654 16.2158
ENSRNOT00000038055.6 30.3996 461.279
ENSRNOT00000022923.6 0 0
ENSRNOT00000071786.2 3.13076 35.9861
ENSRNOT00000084637.1 20.2456 996.724
ENSRNOT00000048293.4 8.77209 151
ENSRNOT00000041789.2 1121.66 19221
ENSRNOT00000020384.2 7.83134 91.2296
ENSRNOT00000088867.1 0 0
ENSRNOT00000001227.6 260.923 6061.24
ENSRNOT00000061323.1 0 0
ENSRNOT00000079988.1 11.5322 29
ENSRNOT00000060765.4 2.11642 44
ENSRNOT00000088529.1 15.0637 1156.43
ENSRNOT00000064255.1 0.0373061 3.28443
ENSRNOT00000025183.2 14.4826 115.064
ENSRNOT00000013503.5 0 0
ENSRNOT00000020493.5 1.68796 22.4312
ENSRNOT00000010633.5 54.2976 2025.43
ENSRNOT00000064594.3 0.436943 7.78654
ENSRNOT00000085673.1 0 0
ENSRNOT00000010714.5 27.5541 1323.44
ENSRNOT00000024714.7 28.4667 2392.65
ENSRNOT00000064565.1 0 0
ENSRNOT00000081206.1 126.699 3824.88
ENSRNOT00000083426.1 6.65927 193.125
ENSRNOT00000066115.3 7.14784 188.468
ENSRNOT00000080712.1 13.1418 416.583
ENSRNOT00000017805.6 22.8831 921.54
ENSRNOT00000035512.6 1.23434 39
ENSRNOT00000061029.4 5.16238 308.404
ENSRNOT00000090178.1 0 0
ENSRNOT00000052157.5 6.60709 194
ENSRNOT00000066120.3 57.7432 3461.54
ENSRNOT00000026633.7 30.8654 413.355
ENSRNOT00000084562.1 0 0
