gene logFC FDR up_in_female V7
ENSRNOT00000010743.7 -1.32437382624231 0.00169209424708624 TRUE RGD1309108
ENSRNOT00000011521.4 -1.41503453090736 0.00472940634684091 TRUE Mogs
ENSRNOT00000012538.5 -7.50412463137986 2.43619210349818e-12 TRUE Tbx21
ENSRNOT00000013366.7 -6.70289034932203 0.000853887467828748 TRUE Abcc4
ENSRNOT00000013530.5 -1.09957481315535 0.00284880110175569 TRUE Eomes
ENSRNOT00000013546.6 -1.30612574369667 1.37879592227612e-05 TRUE Prrc2b
ENSRNOT00000014464.7 -0.414800961048833 0.0365078686872528 TRUE Anxa6
ENSRNOT00000014639.6 -1.96906183637552 0.0434290451003387 TRUE Nmb
ENSRNOT00000014916.6 -6.37967090150812 0.00606445665920772 TRUE LOC100910164
ENSRNOT00000015127.5 6.97218993868831 0.00153091445684329 FALSE Slc7a2
ENSRNOT00000015172.7 -6.04718640538791 2.34280501641646e-08 TRUE Mcc
ENSRNOT00000015393.5 1.44074831514407 0.0278736469843596 FALSE Tpp2
ENSRNOT00000015517.5 -6.69621591377625 0.00262310661225629 TRUE Kbtbd6
ENSRNOT00000016474.3 -8.22527850659656 1.29187592162173e-06 TRUE Galnt7
ENSRNOT00000016645.6 -5.75234664116362 0.0252040269669701 TRUE Col17a1
ENSRNOT00000016838.6 0.687387142596894 6.57895647970559e-07 FALSE Rhobtb3
ENSRNOT00000017224.6 -2.03521354674354 8.92778997055247e-17 TRUE Parp3
ENSRNOT00000017383.5 5.61055026029522 0.0413835513918802 FALSE Kat6b
ENSRNOT00000017708.5 -1.49343963962489 2.93142363732086e-05 TRUE Pdcd5
ENSRNOT00000017749.6 -8.05258681136304 4.24946566788865e-06 TRUE Cfh
ENSRNOT00000017859.5 -5.69418430354629 0.0283792469760716 TRUE Ccdc150
ENSRNOT00000018126.3 -3.31425989645333 5.40234652873625e-19 TRUE Csnk1e
ENSRNOT00000018272.8 6.8907390774304 0.00193783346697765 FALSE Tle4
ENSRNOT00000018339.6 -6.88703186237997 0.0015959205488938 TRUE Ruvbl1
ENSRNOT00000018630.5 -1.8100043042756 5.87259031587777e-83 TRUE Cdhr1
ENSRNOT00000018794.8 0.314993536055729 0.0457346879892464 FALSE Rasgrf1
ENSRNOT00000018828.3 -6.19193751643367 0.00969547923706306 TRUE Sp7
ENSRNOT00000019265.6 0.358032292349928 0.012038445172149 FALSE Arpc2
ENSRNOT00000020328.5 -5.39947290435135 0.0491046620725527 TRUE Mcfd2
ENSRNOT00000020926.5 -2.17080570666656 7.93123515136055e-06 TRUE Ptgds
ENSRNOT00000021223.4 2.1563757139699 7.38074266970932e-14 FALSE Arhgap35
ENSRNOT00000021322.4 6.486047987103 0.00607997633891575 FALSE P3h4
ENSRNOT00000021456.2 -0.73997607524851 0.00831956868079843 TRUE Gipr
ENSRNOT00000021877.5 -6.9241335296804 0.00136252377721987 TRUE Rpp40
ENSRNOT00000021996.4 5.25835049349299 0.00835963492768173 FALSE AABR07067506.1
ENSRNOT00000022113.4 -2.235790293762 3.64485506616109e-07 TRUE Ttr
ENSRNOT00000022669.6 -9.40794244009961 4.60463929265109e-15 TRUE Phf2
ENSRNOT00000023366.6 -5.91501090206461 0.0180660975132128 TRUE Rnpc3
ENSRNOT00000023376.4 -2.65662209172717 1.72353203033962e-07 TRUE Phrf1
ENSRNOT00000023601.7 -0.886402274794595 0.0498837648694491 TRUE Ryr2
ENSRNOT00000023611.6 -0.38933755184735 0.0105865045241203 TRUE Tubb2a
ENSRNOT00000024427.6 0.775191980633627 0.000178822731276614 FALSE Cd99l2
ENSRNOT00000024978.6 -0.883992650055159 1.32032360485114e-05 TRUE Cpne6
ENSRNOT00000025037.8 -0.643798905503453 0.0439882527839634 TRUE Svil
ENSRNOT00000025217.6 -0.334429727814229 0.018963828136114 TRUE Rpl17
ENSRNOT00000025290.5 5.98394721907077 0.0201533026612826 FALSE LOC100911519
ENSRNOT00000025446.6 9.43473915555299 3.346631432235e-16 FALSE Echs1
ENSRNOT00000025845.4 -0.808133639685273 0.032603344064439 TRUE Lipa
ENSRNOT00000029458.6 1.35047842309764 2.00195776006135e-06 FALSE Smarcb1
ENSRNOT00000029878.6 -6.85349498915303 0.00171688258060752 TRUE Ptprc
ENSRNOT00000032802.4 -0.604991641176251 0.0326227983738473 TRUE Gimap9
ENSRNOT00000033968.7 -7.94568553849261 1.25001668541945e-05 TRUE Frmd7
ENSRNOT00000034216.6 5.65069181478128 0.0394512329188684 FALSE Mamdc2
ENSRNOT00000034599.1 -6.68974720668451 5.91484491889903e-38 TRUE LOC100362965
